번호,개방서비스명,소재지전화,도로명전체주소,사업장명,업태구분명,진료과목내용명
632,의원,031-221-8275,"경기도 화성시 병점구 떡전골로 98, 4층 (병점동)",행복을심는치과의원,치과의원,구강악안면외과
633,의원,031-202-6701,"경기도 화성시 병점구 영통로 14-10, 토마토프라자 201,202,203호 (반월동)",미라클의원,의원,내과 피부과 성형외과 산부인과
634,의원,031-898-7528,"경기도 화성시 병점구 동탄지성로 320, 304호 (반월동, 신풍프라자)",프라임치과의원,치과의원,치과보철과
635,의원,031-221-0072,경기도 화성시 병점구 병점2로 22 (병점동),햇님한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
636,의원,031-234-7475,"경기도 화성시 병점구 떡전골로 72-3, 4층 402호 (병점동)",미래정신건강의학과의원,의원,정신건강의학과
637,의원,031-231-0055,"경기도 화성시 병점구 병점2로 38, 2층(전체),3층 (302~303)호 (병점동)",서울삼성내과의원,의원,내과 소아청소년과 이비인후과 피부과 비뇨의학과 진단검사의학과 영상의학과 재활의학과 신경외과 정형외과
638,의원,031-234-5975,"경기도 화성시 병점구 효행로 1052, 405호 (병점동, 씨네샤르망A)",아가페치과의원,치과의원,통합치의학과
639,의원,031-898-5757,"경기도 화성시 병점구 경기대로 1014, 6층 601호 (병점동, 병점프라자)",예다움정신건강의학과의원,의원,내과 정신건강의학과 신경외과
640,의원,031-231-1477,"경기도 화성시 병점구 경기대로 985, 1층 (병점동, 홈플러스)",굿모닝소아청소년과의원,의원,내과 소아청소년과 이비인후과
641,의원,031-236-3434,"경기도 화성시 병점구 떡전골로 60, 107동 2층 201호 (병점동)",병점베스트치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
642,의원,031-223-0020,"경기도 화성시 병점구 효행로 1063, 301호 (진안동, 메디프렌드)",미즈맘산부인과의원,의원,산부인과
643,의원,031-222-0977,"경기도 화성시 병점구 효행로 1073, 602호 (진안동, 거성프라자)",연세이비인후과의원,의원,내과 안과 이비인후과 소아청소년과
644,의원,031-232-6275,"경기도 화성시 병점구 병점2로 30, 명신프라자 308호 (병점동)",서울참소아과의원,의원,내과 소아청소년과 이비인후과 피부과 안과 가정의학과
645,의원,031-231-1245,"경기도 화성시 병점구 효행로 1072, 302~303호,304호 일부,305~306호,308호 (병점동)",필한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
646,의원,031-231-2875,"경기도 화성시 병점구 효행로 1051, 401호 (진안동, 메인프라자)",해맑은치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
647,의원,031-221-2046,"경기도 화성시 병점구 효행로 1051, 405호 (진안동, 메인프라자)",예인한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
648,의원,031-222-6833,"경기도 화성시 병점구 병점1로 221, 301호 (진안동, 화인메디칼)",약손한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
649,의원,031-223-2842,"경기도 화성시 병점구 병점2로 65, 305호 (병점동, 우남프라자)",예인치과의원,치과의원,통합치의학과
650,의원,031-226-3222,"경기도 화성시 병점구 병점2로 65, 301호 (병점동, 우남프라자)",초록한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
651,의원,031-221-7581,"경기도 화성시 병점구 효행로 1068, 505호 (병점동, 리더스프라자)",이가편한치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 구강악안면방사선과 구강병리과 예방치과
652,의원,031-222-7535,"경기도 화성시 병점구 병점1로 66-12, 303호 (병점동, 하이코아빌딩)",유림한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
653,의원,031-226-4747,"경기도 화성시 병점구 효행로 1062, 501호 (병점동, 센터프라자)",하이치과의원,치과의원,치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과
654,의원,031-223-5700,"경기도 화성시 병점구 효행로 1051, 502호 (진안동, 메인프라자)",유미항외과의원,의원,내과 외과 심장혈관흉부외과 소아청소년과 피부과 비뇨의학과
655,의원,031-222-2332,"경기도 화성시 병점구 효행로 1051, 406호 (진안동, 메인프라자)",태안밝은안과의원,의원,안과
656,의원,031-898-7928,"경기도 화성시 병점구 병점1로 221, 302호 (진안동, 화인메디칼)",연세프렌즈치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 통합치의학과
657,의원,031-225-5400,"경기도 화성시 병점구 효행로 1051, 메인프라자 4층 402,403호 (진안동)",태안내과의원,의원,내과 소아청소년과 영상의학과 병리과
658,의원,031-223-3717,"경기도 화성시 병점구 병점2로 30, 303호 (병점동, 명신프라자)",왕이비인후과의원,의원,이비인후과 소아청소년과 안과
659,의원,031-221-7528,"경기도 화성시 병점구 효행로 1072, 403호 (병점동, 상록프라자)",아름다운치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 구강악안면방사선과 구강병리과 예방치과
660,의원,031-234-6004,"경기도 화성시 병점구 병점1로 221, 5층 (진안동, 화인메디컬프라자)",연세헤븐피부과의원,의원,내과 피부과
661,의원,031-222-7506,"경기도 화성시 병점구 효행로 1072, 405,406호 (병점동, 상록프라자)",서울내과의원,의원,내과 소아청소년과 이비인후과
662,의원,031-221-2855,"경기도 화성시 병점구 효행로 1073, 거성프라자 302,303호 (진안동)",연세위더스치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
663,의원,031-8058-4724,"경기도 화성시 병점구 효행로 1073, 403호 (진안동, 거성프라자)",푸른한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
664,의원,031-226-5575,"경기도 화성시 병점구 효행로 1069, 404호 (진안동, 우성메디피아)",오내과의원,의원,내과 소아청소년과
665,의원,031-226-5275,"경기도 화성시 병점구 효행로 1073, 501,502호 (진안동, 거성프라자)",연세소아과의원,의원,내과 소아청소년과 이비인후과 피부과 안과
666,의원,031-898-7004,"경기도 화성시 병점구 효행로 1069, 403호 (진안동, 우성메디피아)",이지이비인후과의원,의원,이비인후과
667,의원,031-221-4393,"경기도 화성시 병점구 효행로 1069, 503호 (진안동, 우성메디피아)",굿모닝치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
668,의원,031-222-5875,"경기도 화성시 병점구 효행로 1069, 502호 (진안동, 우성메디피아)",본비뇨기과의원,의원,비뇨의학과 피부과
669,의원,031-223-2275,"경기도 화성시 병점구 병점2로 46, 4층 (병점동, 태성빌딩)",올치과의원,치과의원,통합치의학과
670,의원,031-208-5995,"경기도 화성시 병점구 삼성전자로 1, 1층 (반월동, 밀레니엄프라자)",삼성전자화성오케이한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
671,의원,031-208-5996,"경기도 화성시 병점구 삼성전자로 1 (반월동, 삼성전자내복지동)",(의)삼성의료재단 강북삼성화성치과의원,치과의원,구강악안면외과 치과보철과 치주과 치과보존과
672,의원,031-238-4321,"경기도 화성시 병점구 병점2로 6, 4층 (병점동, 금강빌딩)",바른정형외과의원,의원,재활의학과 피부과 소아청소년과 정형외과 정신건강의학과 신경과 내과
673,의원,031-235-7586,"경기도 화성시 병점구 효행로 1028, 301호 (진안동, 삼성프라자)",홍익한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
674,의원,031-238-5800,"경기도 화성시 병점구 병점1로 221, 4층 (진안동, 화인메디칼프라자)",병점신안과의원,의원,안과
675,의원,031-203-1075,"경기도 화성시 병점구 영통로 59, 현대프라자 3층 301호 (반월동)",연세길한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
676,의원,031-225-3977,"경기도 화성시 병점구 경기대로 990, 201호 (병점동, sk뷰상가)",늘푸른비뇨기과의원,의원,내과 피부과 비뇨의학과
677,의원,031-239-5075,"경기도 화성시 병점구 병점서로 33, 302호 (병점동, 두산탑프라자)",서울성모이비인후과의원,의원,내과 소아청소년과 이비인후과
678,의원,031-237-5028,"경기도 화성시 병점구 경기대로 1042, 새서울메디컬 2층 (진안동)",권치과의원,치과의원,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
679,의원,031-205-4285,"경기도 화성시 병점구 영통로 66, 201,202,203호 (반월동)",신영통튼튼이치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
680,의원,031-202-9229,"경기도 화성시 병점구 영통로61번길 6, 3층 (반월동, 제일프라자)",장주은피부과의원,의원,피부과
681,의원,031-234-4228,"경기도 화성시 병점구 병점2로 30, 3층 (병점동, 명신프라자)",병점홍치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
682,의원,031-206-8575,"경기도 화성시 병점구 영통로61번길 6, 306호 (반월동, 제일프라자)",황제한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
683,의원,031-202-2822,"경기도 화성시 병점구 영통로61번길 6, 3층 (반월동, 제일프라자)",미서울치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과
684,의원,031-203-7585,"경기도 화성시 병점구 영통로61번길 6 (반월동, 제일프라자)",강내과의원,의원,내과
685,의원,031-232-2338,"경기도 화성시 병점구 병점2로 30, 2층 207호 (병점동, 명신프라자)",배영민소아청소년과의원,의원,내과 소아청소년과 피부과 산부인과 신경과 이비인후과
686,의원,031-273-3686,"경기도 화성시 병점구 영통로61번길 6, 307호 (반월동, 제일프라자)",신영통경희한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
687,의원,031-273-9119,경기도 화성시 병점구 영통로80번길 2 (반월동),삼성메디칼정형외과의원,의원,소아청소년과 정형외과 내과 피부과 비뇨의학과 외과 신경외과 재활의학과
688,의원,031-204-8275,경기도 화성시 병점구 효행로 1385 (반월동),박동수외과의원,의원,내과 외과 정형외과 소아청소년과 비뇨의학과
689,의원,031-223-0101,"경기도 화성시 병점구 병점2로 46, 3층 (병점동, 태성빌딩)",세경한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
690,의원,031-234-1075,"경기도 화성시 병점구 병점서로 34, 203호 (병점동, 병점동, 두산아파트상가)",샘물한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
691,의원,031-234-2879,"경기도 화성시 병점구 병점서로 34, 208호 (병점동, 남수원두산아파트상가)",예손치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 구강악안면방사선과 구강병리과 예방치과
692,의원,031-222-2086,경기도 화성시 병점구 용주로 12 (송산동),송산한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 침구과
693,의원,031-239-2263,경기도 화성시 병점구 병점3로 22 (병점동),최기방한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
694,의원,031-238-8278,경기도 화성시 병점구 경기대로 1042 (진안동),새서울메디컬의원,의원,내과 소아청소년과 피부과 정형외과 비뇨의학과 외과
695,의원,031-235-5725,경기도 화성시 병점구 용주로 9 (안녕동),이수의원,의원,내과 외과 정형외과 소아청소년과 이비인후과
696,의원,031-236-9984,경기도 화성시 병점구 경기대로 1038 (진안동),상아치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 구강악안면방사선과 구강병리과 예방치과
697,병원,031-375-5812,"경기도 화성시 동탄구 동탄신리천로 411, 4,5층 (목동)",케이한방병원,한방병원,내과 신경과 정형외과 마취통증의학과 소아청소년과 피부과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
698,병원,031-1644-7889,"경기도 화성시 동탄구 동탄솔빛로 57, 케이에이치스퀘어 2,3,4층 (반송동)",동탄더하다한방병원,한방병원,가정의학과 한방내과 한방재활의학과 침구과
699,병원,031-374-7512,"경기도 화성시 동탄구 동탄오산로 86-3, 동탄역MK타워 504,505,506호 (여울동)",동탄센트럴치과병원,치과병원,통합치의학과 예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
700,병원,031-8058-0123,"경기도 화성시 동탄구 동탄신리천로 408, M메디컬프라자 4,5,6층 (목동)",바르다임병원,병원,내과 정형외과 신경외과 마취통증의학과 영상의학과 재활의학과 가정의학과
701,병원,1566-8327,"경기도 화성시 동탄구 동탄순환대로 704, 성산타워 A동 5,6,7층 (영천동)",동탄2튼튼한방병원,한방병원,재활의학과 가정의학과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
702,병원,031-375-1122,"경기도 화성시 동탄구 동탄순환대로 127-19, 동탄에스비타운 3(일부),6,7층 (산척동)",동탄성모병원,병원,피부과 이비인후과 소아청소년과 내과
703,병원,031-613-8852,"경기도 화성시 동탄구 동탄지성로 20, 2~7층 (반송동)",베스트아이들병원,병원,소아청소년과
704,병원,031-1566-8375,"경기도 화성시 동탄구 동탄지성로 116, 강남프라자 2,3,4,5층 (반송동)",동탄튼튼한방병원,한방병원,내과 정형외과 신경외과 마취통증의학과 재활의학과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
705,병원,031-8060-5000,"경기도 화성시 동탄구 동탄지성로 17, 지하1~2층 일부층 (반송동, 풍성위버폴리스)",센트럴아동병원,병원,소아청소년과
706,병원,031-8086-3000,경기도 화성시 동탄구 큰재봉길 7 (석우동),한림대학교동탄성심병원,종합병원,내과 신경과 정신건강의학과 외과 정형외과 신경외과 심장혈관흉부외과 성형외과 마취통증의학과 산부인과 소아청소년과 안과 이비인후과 피부과 비뇨의학과 영상의학과 방사선종양학과 병리과 진단검사의학과 재활의학과 가정의학과 핵의학과 응급의학과 구강악안면외과 치과보철과 치과교정과 치과보존과
707,병원,031-8003-5800,"경기도 화성시 동탄구 동탄원천로 338-7, 동탄V프라자 3~7층 (능동)",메타메디병원,정신병원,이비인후과 소아청소년과 정신건강의학과 신경과 내과
708,병원,031-8015-9999,경기도 화성시 동탄구 삼성1로 144-6 (석우동),의료법인상운의료재단 동탄제일병원,병원,내과 외과 마취통증의학과 산부인과 소아청소년과 영상의학과 가정의학과
709,병원,031-8015-3333,"경기도 화성시 동탄구 동탄지성로 113, 117 (반송동)",동탄시티병원,병원,가정의학과 재활의학과 영상의학과 마취통증의학과 정형외과 외과 신경과 내과
710,의원,031-373-3651,"경기도 화성시 동탄구 동탄순환대로16길 15, 2층 (산척동)",동탄365힘찬신경외과의원,의원,정형외과 신경외과 내과 재활의학과 마취통증의학과
711,의원,031-831-3906,"경기도 화성시 동탄구 동탄대로시범길 134, 판매시설동 1층 1001호 (청계동, 동탄역시범반도유보라아이비파크4.0)",새늘한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
712,의원,031-377-3655,"경기도 화성시 동탄구 동탄신리천로 406, 401~411호 (목동)",동탄삼성365정형외과내과의원,의원,응급의학과 재활의학과 진단검사의학과 마취통증의학과 신경외과 정형외과 내과
713,의원,031-8077-2175,"경기도 화성시 동탄구 동탄기흥로353번길 99-3, 202,203,204,205호 (여울동)",동탄심온치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
714,의원,031-377-5824,"경기도 화성시 동탄구 동탄대로 537, 라스플로레스 201,202,203,216호 (여울동)",동탄맥스웰의원,의원,피부과 성형외과
715,의원,031-378-1191,"경기도 화성시 동탄구 동탄기흥로353번길 99-3, 301,302,303,304,305호 (여울동)",동탄바로척의원,의원,응급의학과 가정의학과 재활의학과 마취통증의학과 신경외과 정형외과 내과
716,의원,031-8015-0650,"경기도 화성시 동탄구 동탄솔빛로 68, 계림개발 502~505호호 (반송동)",동탄바로튼튼365의원,의원,재활의학과 신경외과 정형외과 신경과
717,의원,031-375-1057,"경기도 화성시 동탄구 동탄순환대로27길 30, 2층 일부호 (영천동)",365통치한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
718,의원,031-374-6999,"경기도 화성시 동탄구 동탄순환대로12길 4, 301,302,303호 (산척동)",동탄센텀정형외과의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
719,의원,02-2250-3845,경기도 화성시 동탄구 동탄신리천로 260 (여울동),의료법인 마리아의료재단 동탄마리아의원,의원,산부인과
720,의원,031-377-1333,"경기도 화성시 동탄구 동탄오산로 29, B동 101~108호 (여울동)",동탄대방튼튼재활의학과의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
721,의원,031-373-7512,"경기도 화성시 동탄구 동탄순환대로 27, 3층 302,303호 (송동)",동탄본한의원,한의원,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과
722,의원,031-613-7717,"경기도 화성시 동탄구 노작로1가길 8, 나루프라자 117~124호 (반송동)",동탄아이엠유의원,의원,내과 소아청소년과 이비인후과 피부과 비뇨의학과 가정의학과
723,의원,031-613-8755,"경기도 화성시 동탄구 동탄솔빛로 62, 리첸프라자 204호 (반송동)",비채온한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 침구과
724,의원,자료미집계,"경기도 화성시 동탄구 동탄신리천로 411, 우성스타타워B 311~312호 (목동)",자연미인의원,의원,피부과
725,의원,031-8003-7580,"경기도 화성시 동탄구 동탄반석로 124, 쎈타프라자 506호 (반송동)",서울메모리치과의원,치과의원,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
726,의원,031-8055-8490,"경기도 화성시 동탄구 동탄신리천로 408, 엠메디컬프라자 2층 207호 (목동)",데가제한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
727,의원,031-613-9985,"경기도 화성시 동탄구 동탄중심상가2길 32, 3층 301,302,303호 (반송동)",삼성진재활의학과의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
728,의원,031-8050-5040,"경기도 화성시 동탄구 동탄대로 489, 동탄역우성타워 706,707호 (여울동)",동탄아이디의원,의원,피부과
729,의원,031-8043-3210,"경기도 화성시 동탄구 동탄대로 495, 동탄역리치안 203호 (여울동)",동탄헤스티아여성의원,의원,산부인과
730,의원,031-377-6900,"경기도 화성시 동탄구 동탄대로 489, 동탄역우성타워 503~506호 (여울동)",동탄올바른안과의원,의원,안과
731,의원,031-373-0317,"경기도 화성시 동탄구 동탄순환대로 263, 409~410호 (산척동)",미뉴얼의원,의원,피부과
732,의원,031-377-1201,"경기도 화성시 동탄구 동탄순환대로 127-5, 우성센트럴타워 512~514호 (산척동)",러브유외과의원,의원,외과
733,의원,031-372-6048,"경기도 화성시 동탄구 동탄대로5길 15, 그랑파사쥬 2031~2032호 (송동)",경희리온한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
734,의원,031-375-7999,"경기도 화성시 동탄구 동탄순환대로 257, 종산타워 501~503호 (산척동)",서울브라이트안과의원,의원,안과
735,의원,070-8211-2776,"경기도 화성시 동탄구 동탄대로1길 3, 401~403호 (장지동)",헤어로의원,의원,피부과
736,의원,031-8050-7500,"경기도 화성시 동탄구 동탄대로5길 9, 더샵 동탄센텀폴리스 2단지 5009,5010,5011호 (송동)",동탄화외과의원,의원,피부과 외과
737,의원,031-8050-1080,"경기도 화성시 동탄구 동탄순환대로 257, 종산타워 504~505호 (산척동)",서울동탄비뇨의학과의원,의원,비뇨의학과 소아청소년과 내과
738,의원,031-8015-9199,"경기도 화성시 동탄구 동탄중앙로 76, 서건프라자 4층 402-3호 (반송동)",더마웰피부과의원,의원,피부과
739,의원,031-8043-5986,"경기도 화성시 동탄구 동탄오산로 82, 401,402호 (여울동)",삶신경과의원,의원,예방의학과 핵의학과 소아청소년과 마취통증의학과 정신건강의학과 신경과 내과
740,의원,031-372-8873,"경기도 화성시 동탄구 동탄순환대로12길 4, 201호 (산척동)",온가족한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
741,의원,031-831-5777,"경기도 화성시 동탄구 동탄대로 537, 라스플로레스 309,408호 (여울동)",뷰티라운지의원,의원,피부과
742,의원,031-376-6377,"경기도 화성시 동탄구 동탄역로 150, A동 203~204호 (여울동, 동탄역 롯데캐슬)",오직탄력의원,의원,피부과
743,의원,031-375-1963,"경기도 화성시 동탄구 동탄대로4길 53, 206~207호 (장지동)",함께걷는한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
744,의원,031-373-2279,"경기도 화성시 동탄구 동탄순환대로 4, 3층 (장지동)",연세퍼스트치과의원,치과의원,통합치의학과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
745,의원,031-376-6878,"경기도 화성시 동탄구 동탄대로 537, 라스플로레스 432호 (여울동)",서울오케이유외과의원,의원,영상의학과 피부과 성형외과 외과
746,의원,031-8067-5678,"경기도 화성시 동탄구 동탄원천로 153, 2층 201~208호 (반송동)",톤즈의원 동탄점,의원,피부과 성형외과
747,의원,031-613-0655,"경기도 화성시 동탄구 동탄반석로 124, 쎈타프라자 703호 (반송동)",리본여성의원,의원,산부인과
748,의원,031-377-5530,"경기도 화성시 동탄구 동탄순환대로 263, 408호 (산척동)",경희본앤유한의원,한의원,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과
749,의원,031-374-0466,"경기도 화성시 동탄구 동탄대로 489, 동탄역우성타워 601호 (여울동)",올포유외과의원,의원,외과
750,의원,031-376-7575,"경기도 화성시 동탄구 동탄순환대로14길 7, 401~408호 (산척동)",동탄신경외과의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
751,의원,031-8043-5422,"경기도 화성시 동탄구 동탄대로4길 39, 포트센트럴파크 203호 (장지동)",동탄센트럴이비인후과의원,의원,피부과 이비인후과 안과 소아청소년과 내과
752,의원,031-613-0802,"경기도 화성시 동탄구 동탄반석로 134, 10층 (반송동)",동탄연세맑은내과의원,의원,내과
753,의원,031-376-1505,"경기도 화성시 동탄구 동탄신리천로 407, 204~206호 (목동)",시호한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
754,의원,031-8043-7019,"경기도 화성시 동탄구 여울로 19, 101호 (능동)",파란이비인후과의원,의원,이비인후과 소아청소년과
755,의원,031-372-8220,"경기도 화성시 동탄구 동탄광역환승로 73, 124,125호 (여울동, 동탄역 반도유보라 아이비파크 8.0)",반디소아청소년과의원,의원,피부과 이비인후과 소아청소년과 내과
756,의원,031-615-4997,"경기도 화성시 동탄구 동탄대로5길 15, 그랑파사쥬 4006~4008호 (송동)",온새한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
757,의원,031-8050-0002,"경기도 화성시 동탄구 동탄대로5길 9, 그랑파사쥬 3004~3006호 (송동)",연세든든외과의원,의원,마취통증의학과 정형외과 외과
758,의원,031-364-8246,"경기도 화성시 동탄구 동탄대로 537, 라스플로레스 501호 (여울동)",피어봄의원,의원,피부과
759,의원,031-374-1080,"경기도 화성시 동탄구 동탄대로 537, A동 330,331호 (여울동)",동탄역예나치과교정과치과의원,치과의원,통합치의학과 예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
760,의원,031-613-7531,"경기도 화성시 동탄구 동탄지성로 141, 아크리아 301호 (능동)",청담드림정신건강의학과의원,의원,정신건강의학과
761,의원,031-8055-3651,"경기도 화성시 동탄구 동탄대로5길 15, 더샵 동탄센텀폴리스 1단지 2001~2010호, 2096~2098호 (송동)",유앤아이의원,의원,피부과
762,의원,031-373-3307,"경기도 화성시 동탄구 동탄영천로 81-13, 2,3,4,5층 (영천동)",감탄정형외과의원,의원,영상의학과 마취통증의학과 신경외과 정형외과 내과
763,의원,031-8003-7585,"경기도 화성시 동탄구 동탄솔빛로 67, 성우프라자 401호 (반송동)",동탄숲정신건강의학과의원,의원,정신건강의학과
764,의원,031-376-1075,"경기도 화성시 동탄구 동탄대로시범길 134, 2033호 (청계동, 동탄역시범반도유보라아이비파크4.0)",맘앤키즈한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
765,의원,031-374-8105,"경기도 화성시 동탄구 동탄영천로 81-5, 202,203호 (영천동)",마주봄한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
766,의원,031-373-5075,"경기도 화성시 동탄구 동탄순환대로 685, 502-2~503호 (영천동)",코아이비인후과의원,의원,비뇨의학과 피부과 이비인후과 안과 소아청소년과 정형외과 내과
767,의원,"031-630-1381,1382","경기도 화성시 동탄구 동탄대로 557-9, 우성르보아시티 B동 301-304호 (여울동)",메디피움치과의원,치과의원,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
768,의원,031-373-7175,"경기도 화성시 동탄구 동탄오산로 86-3, 201호 (여울동)",한음한방신경정신과한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
769,의원,031-376-1062,"경기도 화성시 동탄구 동탄신리천로 411, 313,314호 (목동)",동탄리뉴본한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
770,의원,031-378-8278,"경기도 화성시 동탄구 동탄신리천로 406, 리더스퀘어 309~311호 (목동)",서울베스트의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 외과 내과
771,의원,031-377-1677,"경기도 화성시 동탄구 동탄대로5길 9, 그랑파사쥬 4027~4045호 (송동)",그랑본여성의원,의원,산부인과
772,의원,031-377-5567,"경기도 화성시 동탄구 동탄대로5길 15, 그랑파사쥬 4061~4076호 (송동)",샤일리안과의원,의원,안과
